num_acidente,chv_localidade,data_acidente,uf_acidente,ano_acidente,mes_acidente,mes_ano_acidente,codigo_ibge,dia_semana,fase_dia,tp_acidente,cond_meteorologica,end_acidente,num_end_acidente,cep_acidente,bairro_acidente,km_via_acidente,latitude_acidente,longitude_acidente,hora_acidente,tp_rodovia,cond_pista,tp_cruzamento,tp_pavimento,tp_curva,lim_velocidade,tp_pista,ind_guardrail,ind_cantcentral,ind_acostamento,qtde_acidente,qtde_acid_com_obitos,qtde_envolvidos,qtde_feridosilesos,qtde_obitos,grupo,ano,mes
5917420,BA2927408201809,2018-09-21,BA,2018,9,92018,2927408,SEXTA-FEIRA,NOITE,DESCONHECIDO,NAO INFORMADO,,0,0,PAU DA LIMA,0,,,215000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0,Com Feridos,2018,9
4291177,PE2614006202204,2022-04-10,PE,2022,4,42022,2614006,DOMINGO,NAO INFORMADO,DESCONHECIDO,DESCONHECIDAS,NAO INFORMADO,0,0,,0,,,0,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2022,4
3927964,SC4210100202203,2022-03-19,SC,2022,3,32022,4210100,SABADO,NOITE,DESCONHECIDO,NAO INFORMADO,RUA OITO DE MARCO,0,0,,0,,,230000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0,Com Feridos,2022,3
1867137,GO5218003201810,2018-10-14,GO,2018,10,102018,5218003,DOMINGO,NOITE,DESCONHECIDO,OUTRAS CONDICOES,GO-151,0,0,SETOR FLAMBOYANT,0,,,220400,MUNICIPAL,NAO INFORMADO,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2018,10
2644616,PA1502400201901,2019-01-18,PA,2019,1,12019,1502400,SEXTA-FEIRA,MANHA,ATROPELAMENTO COM PEDESTRE,NAO INFORMADO,DUQUE DE CAXIAS  AV,0,0,SAUDADE,0,,,73000,MUNICIPAL,NAO INFORMADO,CRUZAMENTO  MESMA SUPERFICIE,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2019,1
1836226,GO5208707201904,2019-04-21,GO,2019,4,42019,5208707,DOMINGO,MANHA,DESCONHECIDO,OUTRAS CONDICOES,RUA PB 6  CEP 74591-032,0,0,RESIDENCIAL LICARDINO NEY,0,,,81900,MUNICIPAL,NAO INFORMADO,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,3,3,0,Com Feridos,2019,4
4655142,MG3129509201803,2018-03-09,MG,2018,3,32018,3129509,SEXTA-FEIRA,TARDE,COLISAO LATERAL,NAO INFORMADO,DOZE,0,0,,0,,,170000,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,2,2,0,Com Feridos,2018,3
5886389,GO5205109202406,2024-06-04,GO,2024,6,62024,5205109,TERCA-FEIRA,MANHA,DESCONHECIDO,OUTRAS CONDICOES,AV. DA RESISTENCIA,0,0,VILA MUTIRAO,0,-18.16625,-47.9437499,111300,MUNICIPAL,NAO INFORMADO,NAO INFORMADO,ASFALTO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2024,6
334707,SC4205407202112,2021-12-31,SC,2021,12,122021,4205407,SEXTA-FEIRA,TARDE,DESCONHECIDO,NAO INFORMADO,RODOVIA VIRGILIO VARZEA,0,0,,0,,,120500,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,1,0,1,1,0,Com Feridos,2021,12
3791016,SP3502804202109,2021-09-03,SP,2021,9,92021,3502804,SEXTA-FEIRA,NOITE,DESCONHECIDO,CLARO,RUA BRIADEIRO FARIA LIMA,2007,0,JARDIM PLANALTOACLI,0,,,185800,NAO INFORMADO,SECA,DESCONHECIDO,ASFALTO,DESCONHECIDO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,NAO INFORMADO,DESCONHECIDO,1,0,0,0,0,Total Geral,2021,9
